id_client,nom,prenom,email,telephone,ville,region,date_inscription
CLI0001,Rabe,Tantely,tantely.rabe1@mail.mg,0326 812 251,Antsirabe,Vakinankaratra,2024-11-25
CLI0002,Andrianina,Mendrika,mendrika.andrianina2@mail.mg,+261 34 67 579 19,Fianarantsoa,Haute Matsiatra,2024-09-08
CLI0003,Rasoa,Miora,miora.rasoa3@mail.mg,0322110528,Toliara,Atsimo-Andrefana,2024-05-11
CLI0004,Randria,Rado,rado.randria4@mail.mg,0338914896,Antananarivo,Analamanga,2025-04-22
CLI0005,Rajaonarivelo,Rija,rija.rajaonarivelo5@mail.mg,0344490883,Mahajanga,Boeny,2025-04-04
CLI0006,Rakotomalala,Aina,aina.rakotomalala6@mail.mg,0341 635 798,Antsirabe,Vakinankaratra,2024-07-07
CLI0007,Rafanomezantsoa,Rija,rija.rafanomezantsoa7@mail.mg,+261 32 66 525 61,Toliara,Atsimo-Andrefana,2024-10-23
CLI0008,Rabe,Ando,ando.rabe8@mail.mg,0338 989 820,Mahajanga,Boeny,2025-02-19
CLI0009,Randria,Mamy,mamy.randria9@mail.mg,+261 33 95 374 86,Fianarantsoa,Haute Matsiatra,2025-04-22
CLI0010,Rakotomalala,Rado,rado.rakotomalala10@mail.mg,0347 235 814,Morondava,Menabe,2024-04-03
CLI0011,Rajaonarivelo,Vola,vola.rajaonarivelo11@mail.mg,0341 812 543,Morondava,Menabe,2024-04-21
CLI0012,Andrianjafy,Tantely,tantely.andrianjafy12@mail.mg,+261 32 53 560 29,Antsiranana,Diana,2024-12-31
CLI0013,Rafanomezantsoa,Ando,ando.rafanomezantsoa13@mail.mg,+261 33 21 635 85,Antsirabe,Vakinankaratra,2024-03-31
CLI0014,Rabe,Aina,aina.rabe14@mail.mg,0328 376 166,Antsiranana,Diana,2024-01-25
CLI0015,Rakotomalala,Soa,soa.rakotomalala15@mail.mg,0349698021,Fianarantsoa,Haute Matsiatra,2024-12-08
CLI0016,Ranaivo,Iarivo,iarivo.ranaivo16@mail.mg,0328516483,Antsirabe,Vakinankaratra,2024-03-31
CLI0017,Andrianina,Soa,soa.andrianina17@mail.mg,0334424088,Mahajanga,Boeny,2024-12-12
CLI0018,Ratsimbazafy,Mamy,mamy.ratsimbazafy18@mail.mg,0348594487,Fianarantsoa,Haute Matsiatra,2024-08-30
CLI0019,Ramanana,Miora,miora.ramanana19@mail.mg,+261 34 48 529 11,Toliara,Atsimo-Andrefana,2024-05-23
CLI0020,Ranaivo,Onja,onja.ranaivo20@mail.mg,+261 32 37 825 46,Antsiranana,Diana,2024-11-02
CLI0021,Razafimahatratra,Onja,onja.razafimahatratra21@mail.mg,+261 32 66 589 17,Antananarivo,Analamanga,2024-11-02
CLI0022,Ravelo,Rado,rado.ravelo22@mail.mg,0324 923 940,Antananarivo,Analamanga,2025-02-15
CLI0023,Razafimahatratra,Vola,vola.razafimahatratra23@mail.mg,0347 527 766,Antsirabe,Vakinankaratra,2024-10-10
CLI0024,Rakotomalala,Tantely,tantely.rakotomalala24@mail.mg,+261 33 24 138 22,Toliara,Atsimo-Andrefana,2024-04-26
CLI0025,Ratsimbazafy,Nirina,nirina.ratsimbazafy25@mail.mg,0336274448,Antsirabe,Vakinankaratra,2024-12-02
CLI0026,Razafy,Haja,haja.razafy26@mail.mg,0330744220,Antananarivo,Analamanga,2024-11-21
CLI0027,Randria,Rado,rado.randria27@mail.mg,+261 34 80 947 35,Morondava,Menabe,2024-04-01
CLI0028,Rajaonarivelo,Toky,toky.rajaonarivelo28@mail.mg,0328 774 203,Antsirabe,Vakinankaratra,2024-06-22
CLI0029,Ratsimbazafy,Fetra,fetra.ratsimbazafy29@mail.mg,0337709438,Toliara,Atsimo-Andrefana,2024-03-30
CLI0030,Rajaonarivelo,Fitia,fitia.rajaonarivelo30@mail.mg,0331 435 490,Toliara,Atsimo-Andrefana,2025-04-25
CLI0031,Razafimahatratra,Onja,onja.razafimahatratra31@mail.mg,0341223073,Toamasina,Atsinanana,2024-03-20
CLI0032,Rajaonarivelo,Faniry,faniry.rajaonarivelo32@mail.mg,+261 33 33 518 70,Antsirabe,Vakinankaratra,2024-08-01
CLI0033,Ravelo,Mendrika,mendrika.ravelo33@mail.mg,0336 199 103,Antsirabe,Vakinankaratra,2024-10-12
CLI0034,Andriamalala,Soa,soa.andriamalala34@mail.mg,+261 34 89 598 19,Antsiranana,Diana,2024-07-04
CLI0035,Randria,Fetra,fetra.randria35@mail.mg,+261 32 49 470 13,Toliara,Atsimo-Andrefana,2024-12-22
CLI0036,Rajaonarivelo,Rado,rado.rajaonarivelo36@mail.mg,+261 32 12 506 31,Antsiranana,Diana,2024-06-24
CLI0037,Ravelo,Iarivo,iarivo.ravelo37@mail.mg,+261 32 84 661 23,Toamasina,Atsinanana,2024-02-01
CLI0038,Rasolofo,Fitia,fitia.rasolofo38@mail.mg,0346 835 101,Antsirabe,Vakinankaratra,2025-05-06
CLI0039,Rasoa,Miora,miora.rasoa39@mail.mg,0343 249 523,Antsiranana,Diana,2025-03-12
CLI0040,Razafimahatratra,Hery,hery.razafimahatratra40@mail.mg,0324 269 868,Morondava,Menabe,2024-06-03
CLI0041,Ratsimbazafy,Soa,soa.ratsimbazafy41@mail.mg,+261 33 62 840 62,Antananarivo,Analamanga,2024-11-29
CLI0042,Rafanomezantsoa,Haja,haja.rafanomezantsoa42@mail.mg,0347361215,Toliara,Atsimo-Andrefana,2024-06-09
CLI0043,Rajaonarivelo,Antsa,antsa.rajaonarivelo43@mail.mg,0331715118,Antananarivo,Analamanga,2025-04-05
